Title,Catagory,Number of review
Miss Mamie's Spoonbread Too,"American, Caribbean",102
Miss Mamie's Spoonbread Too,"American, Caribbean",102
Miss Mamie's Spoonbread Too,"American, Caribbean",102
Miss Mamie's Spoonbread Too,"American, Caribbean",102
Miss Mamie's Spoonbread Too,"American, Caribbean",102
Miss Mamie's Spoonbread Too,"American, Caribbean",102
5 Napkin Burger,"American, Contemporary",4358
The Lambs Club,"American, Contemporary",947
"One if by Land, Two if by Sea","American, Contemporary",829
Il Corso,"American, Contemporary",708
Rainbow Room,"American, Contemporary",699
The Mark Restaurant by Jean Georges,"American, Contemporary",426
Clement at The Peninsula New York,"American, Contemporary",237
Mike's Bistro,"American, Contemporary",183
High Street on Hudson,"American, Contemporary",152
Villard Restaurant,"American, Contemporary",144
Raclette,"American, Deli",1186
Zabar's,"American, Deli",525
Pastrami Queen,"American, Deli",471
Pongal,"American, Deli",193
Caviar Russe,"American, Deli",139
Starlight Deli,"American, Deli",98
Americas Finest Deli,"American, Deli",37
Baita at Eataly,"American, Deli",19
Handcraft Burgers and Brew,"American, Deli",12
Sushi Gama,"American, Deli",9
Ellen's Stardust Diner,"American, Diner",22604
Brooklyn Diner,"American, Diner",2931
The Red Flame Diner,"American, Diner",2420
Times Square Diner,"American, Diner",2409
Brooklyn Diner,"American, Diner",2182
Malibu Diner,"American, Diner",1890
New York Luncheonette,"American, Diner",1167
Applejack Diner,"American, Diner",1131
Cosmic Diner,"American, Diner",1067
Comfort Diner,"American, Diner",1035
Hatsuhana Sushi Restaurant,"American, Dining bars",425
Eleven Madison Park,"American, European",2658
Robert,"American, European",1675
Sea Fire Grill,"American, European",1137
Dowling's at The Carlyle,"American, European",21
Winnie’s,"American, European",19
KOBA Korean Bbq,"American, European",5
Benjamin Steakhouse,"American, Fast Food",2490
Eataly Downtown,"American, Fast Food",1717
Sea Fire Grill,"American, Fast Food",1137
Lupa Osteria Romana,"American, Fast Food",983
Leo's Bagels,"American, Fast Food",400
Pret A Manger,"American, Fast Food",392
Benjamin Steakhouse Prime,"American, Fast Food",309
AnTalia,"American, Fast Food",222
Fresh and Co.,"American, Fast Food",218
Burger Heaven,"American, Fast Food",217
Wu & Nussbaum,"American, Filipino",3
Landmarc,"American, French",250
Sea Fire Grill,"American, Fusion",1137
The Cecil Restaurant,"American, Fusion",207
Route 66 Cafe,"American, Gastropub",392
Dolly Varden,"American, Gastropub",331
Bluestone Lane Upper West Side Cafe,"American, Gastropub",12
Treadwell Park West,"American, German",20
Park Terrace Deli,"American, German",13
The Flame Diner,"American, Greek",193
Death Ave,"American, Greek",129
Nami Nori,"American, Greek",14
STATE Grill and Bar,"American, Grill",351
Tarallucci e Vino Union Square,"American, Grill",215
Abitino's Pizza,"American, Grill",44
Jesus Taco Tex-Mex Grill,"American, Grill",0
Community Food & Juice,"American, Healthy",287
Le Pain Quotidien,"American, Healthy",260
Storico,"American, Healthy",244
Westville West,"American, Healthy",172
Dig,"American, Healthy",138
The Garden at The Four Seasons,"American, Healthy",129
Blue Dog Kitchen,"American, Healthy",109
The Organic Grill,"American, Healthy",76
Quality Bistro,"American, Healthy",67
Sun-Chan,"American, Healthy",27
Rincon Mexicano,"American, Indian",4
Joe & The Juice,"American, Indian",4
Village Fried Chicken,"American, Indian",3
The View Restaurant & Lounge,"American, International",5702
Sarabeth's,"American, International",738
Paul's on Times Square,"American, International",519
Prune,"American, International",459
Elephant & Castle,"American, International",173
Cantina Rooftop,"American, International",171
The Pembroke Room,"American, International",96
Feast,"American, International",71
Xi'an Famous Foods,"American, International",59
James Beard House,"American, International",39
Rosie O'Grady's,"American, Irish",2255
Bryant Park Grill,"American, Irish",1835
O'Hara's Restaurant & Pub,"American, Irish",1473
The Perfect Pint,"American, Irish",1330
McGee's Pub & Restaurant,"American, Irish",1150
Connolly's Pub & Restaurant,"American, Irish",975
Il Cortile Restaurant,"American, Irish",925
Playwright Irish Pub,"American, Irish",741
Lure Fishbar,"American, Irish",656
McHale's Bar & Grill,"American, Irish",503
Mr. Broadway Kosher Restaurant,"American, Israeli",299
Locanda Verde,"American, Italian",1210
Zuma,"American, Italian",818
The Met Dining Room,"American, Italian",284
Champion Pizza - Soho,"American, Italian",130
Saluggi’s,"American, Italian",13
Dil E Punjabi Deli,"American, Italian",7
The Wooly Daily,"American, Italian",5
Random Access Thai Restaurant,"American, Italian",3
Blue Ribbon Sushi Izakaya,"American, Japanese",94
Side Door,"American, Latin",3
Brooklyn Chop House - Times Square,"American, Latin",3
Zoni Cafe,"American, Latin",2
Jack's Wife Freda,"American, Mediterranean",1015
Blue Hill,"American, Mediterranean",706
Tessa,"American, Mediterranean",323
Socarrat Paella Bar - Chelsea,"American, Mediterranean",225
Jack's Wife Freda,"American, Mediterranean",198
Socarrat Paella Bar - Midtown East,"American, Mediterranean",191
Beyond Sushi,"American, Mediterranean",101
Eva's x Cinco de Mayo,"American, Mediterranean",33
Vegan Grill,"American, Mediterranean",3
L'Antica Pizzeria Da Michele NYC,"American, Mediterranean",2
Talia's Steakhouse and Bar,"American, Middle Eastern",236
Dos Toros Taqueria,"American, Middle Eastern",12
Top Thai Vintage,"American, Middle Eastern",11
The Marshal,"American, Pizza",2416
Caffe Napoli,"American, Pizza",867
Royal 35 Steakhouse,"American, Pizza",591
Stage Door Deli,"American, Pizza",539
The Marshal,"American, Pizza",323
The Marshal,"American, Pizza",323
The Marshal,"American, Pizza",323
The Marshal,"American, Pizza",323
The Marshal,"American, Pizza",323
The Marshal,"American, Pizza",323
Kettle of Fish,"American, Pub",44
Stone Bridge Pizza & Salad,"American, Pub",41
Billie's Black,"American, Pub",24
The Joyce Public House,"American, Pub",18
The Warren,"American, Pub",15
Essential By Christophe,"American, Pub",10
American Legion,"American, Pub",9
Jackdaw,"American, Pub",8
Pinky's Space,"American, Pub",0
Bubba Gump Shrimp Co.,"American, Seafood",13344
Best Prices Liquor Store,"American, Seafood",2490
Redeye Grill,"American, Seafood",1190
Burger & Lobster,"American, Seafood",1100
Ed's Lobster Bar,"American, Seafood",761
Docks Oyster Bar NYC,"American, Seafood",650
Royal 35 Steakhouse,"American, Seafood",591
Pearl Oyster Bar,"American, Seafood",534
Atlantic Grill,"American, Seafood",524
Burger & Lobster,"American, Seafood",479
Gabby O'Hara's,"American, Soups",251
Hudson Deli & Grocery,"American, Soups",2
Mighty Quinn's Barbeque,"American, Southwestern",667
SeaHorse,"American, Southwestern",254
Tonchin,"American, Southwestern",94
Corporate Chef Cafe & Catering,"American, Spanish",0
Keens Steakhouse,"American, Steakhouse",6794
Club A Steakhouse,"American, Steakhouse",4413
K Rico Steakhouse,"American, Steakhouse",3486
Benjamin Steakhouse,"American, Steakhouse",2490
Ruth's Chris Steak House,"American, Steakhouse",1543
Sparks Steak House,"American, Steakhouse",1457
Lobster Place,"American, Steakhouse",1366
Ocean Prime,"American, Steakhouse",1233
Old Homestead Steakhouse,"American, Steakhouse",1211
Wolfgang's Steakhouse,"American, Steakhouse",1201
Pampano Taqueria,"American, Street Food",13
Green Cafe,"American, Sushi",63
Greek From Greece,"American, Sushi",3
Chu-Ros Thai,"American, Sushi",2
SOB's - Sounds of Brazil,"American, Swiss",44
Royal 35 Steakhouse,"American, Wine Bar",591
Wine 30,"American, Wine Bar",215
Raffetto's Pasta,"American, Wine Bar",23
Papa Johns Pizza,"American, Wine Bar",5
Irene’s,"American, Wine Bar",0
Sant Ambroeus Gelateria,Arabic,0
Le Pain Quotidien,"Argentinean, Brazilian",54
Estancia 460,"Argentinean, South American",56
Mendy's at Rockefeller Center,"Argentinean, South American",14
Proper West,"Argentinean, South American",10
Sunny and Annie's,"Argentinean, South American",7
Lupa Osteria Romana,Asian,983
Momofuku Ssam Bar,Asian,684
Tuttles Restaurant,Asian,71
Taco Dumbo,Asian,45
Kumo Sushi,Asian,44
Ess-a-Bagel,Asian,41
Lorenzo,Asian,35
Soothr,Asian,26
Chatham Square Restaurant,Asian,26
Ramen Burger,Asian,24
Duke Eatery,"Asian, American",29
Kohoku-ku Ramen,"Asian, Bar",7
Papa Thai Harlem,"Asian, Burmese",87
Groove,"Asian, Cambodian",135
Benjamin Steakhouse,"Asian, Chinese",2490
Royal 35 Steakhouse,"Asian, Chinese",591
Mexiterranean Grill,"Asian, Chinese",425
Great NY Noodletown,"Asian, Chinese",369
Mary's Fish Camp,"Asian, Chinese",262
Indian Project,"Asian, Chinese",159
Little Alley,"Asian, Chinese",133
Nam Son Vietnamese Restaurant,"Asian, Chinese",128
The Beatrice Inn,"Asian, Chinese",108
Mimi Cheng's Dumplings,"Asian, Chinese",99
Baodega,"Asian, Contemporary",3
Tuome,"Asian, Fusion",80
The Horny Ram,"Asian, Fusion",66
Go Zen,"Asian, Fusion",33
Covacha,"Asian, Fusion",14
Uncle Chop Chop,"Asian, Fusion",11
PLANTA Queen,"Asian, Healthy",0
Parm,"Asian, Indonesian",173
Bali Kitchen,"Asian, Indonesian",17
Momofuku Ko,"Asian, International",418
Oda House,"Asian, International",11
Garden Court Cafe,"Asian, Japanese",54
Puff Cha,"Asian, Japanese",31
Atomic Wings,"Asian, Japanese",26
Kaiseki Room by Yamada,"Asian, Japanese",8
KOBA Korean Bbq,"Asian, Korean",5663
Stone Bridge Pizza & Salad,"Asian, Korean",2998
Danji,"Asian, Korean",511
54 Below,"Asian, Korean",366
The Marshal,"Asian, Korean",323
Jungsik,"Asian, Korean",289
Gabriel's Italian Bar and Restaurant,"Asian, Korean",262
Barn Joo 35,"Asian, Korean",251
BCD Tofu House,"Asian, Korean",240
Joe G's Restaurant Italiano,"Asian, Korean",219
Rasa,"Asian, Malaysian",337
Cornerstone Tavern,"Asian, Malaysian",69
Aux Epices,"Asian, Malaysian",59
Adella Restaurant,"Asian, Malaysian",45
Kopitiam,"Asian, Malaysian",33
Love Mama,"Asian, Malaysian",31
Cafe Himalaya,"Asian, Nepali",28
Claud,"Asian, Nepali",0
Socarrat Paella Bar - Chelsea,"Asian, Seafood",225
The Food Emporium,"Asian, Singaporean",21
Chipilo Sandwich Shop,"Asian, Singaporean",2
Chinah Fidi,"Asian, Singaporean",0
Bar Centrale,"Asian, Soups",106
Tuk Tuk Boy,"Asian, Soups",5
sweetgreen,"Asian, Steakhouse",7
Caridad,"Asian, Street Food",2
Delissimo Deli,"Asian, Sushi",8
Foul Witch,"Asian, Taiwanese",24
E-Mo Kimbab,"Asian, Taiwanese",13
Szechuan Mountain House,"Asian, Taiwanese",10
MERMAID OYSTER BAR TIMES SQUARE,"Asian, Taiwanese",9
Balducci’s Food Lover’s Market,"Asian, Taiwanese",0
Alfadhi Grocery Deli,"Asian, Taiwanese",0
Pure Thai Cookhouse,"Asian, Thai",1516
Obao,"Asian, Thai",1215
Nougatine at Jean Georges,"Asian, Thai",1103
Maialino (vicino),"Asian, Thai",923
Royal 35 Steakhouse,"Asian, Thai",591
Royal 35 Steakhouse,"Asian, Thai",591
Up Thai,"Asian, Thai",367
Land,"Asian, Thai",331
Nanking - Manhattan,"Asian, Thai",319
VIV Thai Restaurant and Bar,"Asian, Thai",290
Utsav Restaurant,"Asian, Vietnamese",627
Utsav Restaurant,"Asian, Vietnamese",627
Pho 87 Vietnam,"Asian, Vietnamese",591
Royal 35 Steakhouse,"Asian, Vietnamese",591
Obica Mozzarella Bar - Flatiron,"Asian, Vietnamese",288
Saigon Shack,"Asian, Vietnamese",277
Black Barn,"Asian, Vietnamese",246
Deluxe Green Bo Restaurant,"Asian, Vietnamese",239
thai son,"Asian, Vietnamese",180
Barrio Chino,"Asian, Vietnamese",160
Noree Thai Bazaar,"Asian, Wine Bar",6
Bluestone Lane,Australian,185
Hole In The Wall,Australian,95
The Grey Dog (West Village),"Australian, American",534
Cafe Fledermaus,"Austrian, Cafe",83
Chef Yu,"Austrian, European",338
Wallse,"Austrian, European",189
Wo Hop,Bar,1112
the Press Lounge,Bar,413
The Bar Downstairs and Kitchen,Bar,311
Salon de Ning ROOFTOP,Bar,308
Baccarat Hotel Bar,Bar,203
Loopy Doopy Rooftop Bar,Bar,150
The Empire Lobby Bar,Bar,142
Pig Heaven,Bar,128
Bar Six,Bar,122
Dear Irving,Bar,90
Benjamin Steakhouse,"Bar, American",2490
The Smith,"Bar, American",1205
Sea Fire Grill,"Bar, American",1137
Empire Steak House,"Bar, American",934
TSQ Brasserie,"Bar, American",735
Roxy Diner,"Bar, American",647
Rolf's Bar & Restaurant,"Bar, American",424
Wolfgang's Steakhouse,"Bar, American",414
Oscar Wilde Restaurant & Bar,"Bar, American",227
Ben & Jack's Steakhouse,"Bar, American",197
Macao Trading Company,"Bar, Asian",221
Turntable Chicken Jazz,"Bar, Asian",86
The Cloister Cafe,"Bar, Asian",31
Tangy Noodle,"Bar, Asian",3
Brooklyn Chop House - Times Square,"Bar, Asian",3
Moko,"Bar, Asian",2
Bubby's,"Bar, Barbecue",1612
Matchaful,"Bar, Barbecue",5
Grand Seoul,"Bar, Brazilian",7
The Churchill,"Bar, British",145
The Writing Room,"Bar, British",142
Shakespeare,"Bar, British",115
Hatsuhana Sushi Restaurant,"Bar, Cafe",425
L' Adresse,"Bar, Cafe",32
Yura on East End,"Bar, Cafe",2
The Top of The Standard,"Bar, Contemporary",779
The Rose Club at The Plaza in NYC,"Bar, Contemporary",87
Bondurants,"Bar, Contemporary",24
El Castillo De Jagua 2,"Bar, Contemporary",10
Cafe S.F.A.,"Bar, Dining bars",102
Korzo,"Bar, European",66
Il Mulino Prime Gramercy,"Bar, European",8
Abaleh Mediterranean Grill & Natural Juice Bar,"Bar, Fast Food",9
The Paris Cafe,"Bar, French",345
Karvouna Mezze,"Bar, Greek",4
Teddy's Bar and Grill,"Bar, Grill",99
Holey Cream Ice Cream & Donuts,"Bar, Grill",2
Sala One Nine,"Bar, International",145
Gray's Papaya,"Bar, International",91
Rick Bayless Tortazo,"Bar, International",25
Shade,"Bar, International",22
Mary O's,"Bar, Irish",157
The Folly,"Bar, Irish",14
Serra By Birreria,"Bar, Italian",87
Flame,"Bar, Japanese",67
Rintintin,"Bar, Mediterranean",61
PEQUE Vinos + Tapas,"Bar, Mediterranean",37
The Lexington Social,"Bar, Mediterranean",30
Air's Champagne Parlor,"Bar, Mediterranean",12
El Floridita Restaurant,"Bar, Mediterranean",12
New Moon,"Bar, Mediterranean",10
Lighthouse Fish Market,"Bar, Mediterranean",2
Royal 35 Steakhouse,"Bar, Mexican",591
Cantina Taqueria & Tequila Bar,"Bar, Mexican",55
Pizza Haven,"Bar, Middle Eastern",4
Emmett's,"Bar, Pizza",113
Ginger Root Vegan Restaurant,"Bar, Pizza",3
Catch NYC,"Bar, Pub",1721
Sea Fire Grill,"Bar, Pub",1137
Mini Mart deli Grocery & Beer,"Bar, Pub",591
Hatsuhana Sushi Restaurant,"Bar, Pub",425
Salumeria Rosi,"Bar, Pub",400
Benjamin Steakhouse Prime,"Bar, Pub",309
Benjamin Steakhouse Prime,"Bar, Pub",309
Chickpea,"Bar, Pub",309
Tabernacle Steakhouse,"Bar, Pub",290
Don Giovanni Ristorante,"Bar, Pub",263
Valbella,"Bar, Russian",246
Odessa,"Bar, Seafood",58
Ko Sushi,"Bar, Seafood",49
Oceans,"Bar, Seafood",29
Bombay's Indian Food,"Bar, Seafood",29
Europa Cafe,"Bar, Seafood",14
Sophie's Cuban Cuisine,"Bar, Seafood",13
American Bar,"Bar, Seafood",5
BuenaVista Restaurant & Bar,"Bar, Soups",65
Ella Social,"Bar, Spanish",159
Lupa Osteria Romana,"Bar, Spanish",105
Le Rock,"Bar, Spanish",8
Hells Kitchen Wines & Spirits,"Bar, Sushi",7
Gnocco,"Bar, Wine Bar",204
Hutong New York,"Bar, Wine Bar",85
La Cava,"Bar, Wine Bar",76
The Gallery,"Bar, Wine Bar",12
BBQ Restaurant,Barbecue,50
Porterhouse Brew Co. Bar,Barbecue,29
Vestry,Barbecue,24
Tipico Dominicano Restaurant,Barbecue,10
Great Burrito,Barbecue,6
Kikoo Sushi,Barbecue,3
Vinnie's Pizzeria,Barbecue,2
Nubeluz,"Barbecue, American",3
Gaonnuri,"Barbecue, Asian",849
Utsav Restaurant,"Barbecue, Asian",627
Jongro BBQ,"Barbecue, Asian",467
Baekjeong NYC,"Barbecue, Asian",264
Don's Bogam BBQ & Wine Bar,"Barbecue, Asian",208
Madangsui Korean BBQ Restaurant,"Barbecue, Asian",144
Tenzan,"Barbecue, Asian",139
The Gastro at 35,"Barbecue, Asian",123
Let's Meat,"Barbecue, Asian",53
Hometown Hotpot & BBQ,"Barbecue, Asian",50
Healthy Choice Gourmet Deli Pizza,"Barbecue, Steakhouse",5
Sea Fire Grill,"Barbecue, Vietnamese",1137
Fiorentina Pizzeria and Grill,Belgian,5
BXL Cafe,"Belgian, Bar",470
BXL Zoute,"Belgian, Bar",128
La Villetta,"Belgian, European",107
Astor Court,"Belgian, European",91
Essen Financial District,"Belgian, European",31
Vol de Nuit,"Belgian, European",18
Wafels & Dinges,"Belgian, Street Food",53
Tangy Noodle,"Brazilian, Cafe",3
Famous Famiglia Pizza,"Brazilian, Cafe",2
Anand Indian Cuisine,"Brazilian, Korean",22
Ipanema Restaurant,"Brazilian, Latin",702
Via Brasil Restaurant,"Brazilian, Latin",479
Emporium Brasil,"Brazilian, Latin",410
Patsy's Pizza,"Brazilian, Latin",279
BXL Cafe,"Brazilian, Latin",112
Casa,"Brazilian, Latin",86
Frame Gourmet Eatery,"Brazilian, Latin",49
Chicken Tender Tribe,"Brazilian, Latin",0
Brazilian Restaurant,"Brazilian, South American",29
Gramercy Ale House,"Brazilian, South American",4
Hellcat Annie's Tap Room,"Brew Pub, Bar",47
Eli's Night Shift,British,3
Hana Sushi,"British, Central Asian",39
Sea Fire Grill,Cafe,1137
Lupa Osteria Romana,Cafe,983
Maman,Cafe,309
Benjamin Steakhouse Prime,Cafe,309
Dunkin',Cafe,290
Peking Duck House,Cafe,283
Socarrat Paella Bar - Chelsea,Cafe,225
Tim Ho Wan East Village,Cafe,207
Jin Ramen,Cafe,146
Juic-o-logy Kitchen,Cafe,128
The Marshal,"Cafe, American",323
Starbucks,"Cafe, American",290
Made Fresh Daily Bakeshop,"Cafe, American",290
Cafe 28,"Cafe, American",218
94 Corner Cafe,"Cafe, American",163
Morgan Cafe,"Cafe, American",93
Cafe Alice,"Cafe, American",60
Cafe Amrita,"Cafe, American",55
Cafe Mocha,"Cafe, American",55
Oscar's Place,"Cafe, American",47
The Tyger,"Cafe, Asian",9
Spring Cafe,"Cafe, Asian",4
Shake Shack Meatpacking District,"Cafe, Asian",0
Dragon Horn Tea,"Cafe, Asian",0
Carvel,"Cafe, Asian",0
Two Hands Nolita,"Cafe, Australian",369
New Wong Restaurant,"Cafe, Bar",26
The Tavern by WS,"Cafe, Central Asian",9
7-Eleven,"Cafe, Contemporary",4
Benjamin Steakhouse,"Cafe, Deli",2490
The Woodstock,"Cafe, Deli",8
Ariana Afghan Kabab Restaurant,"Cafe, Diner",179
Le Pain Quotidien,"Cafe, European",246
Le Pain Quotidien,"Cafe, European",218
Motorino,"Cafe, European",48
Vicky's Diner,"Cafe, European",22
A.Cafe,"Cafe, European",14
Hex & Company,"Cafe, European",2
Pret A Manger,"Cafe, Fast Food",846
Pret A Manger,"Cafe, Fast Food",217
Speedy Deli,"Cafe, Fast Food",184
Angelo's on 55th Street,"Cafe, Fast Food",104
Little Alley,"Cafe, Fast Food",44
Tim Ho Wan,"Cafe, Fast Food",35
Formerly Crow's Bar,"Cafe, Fast Food",14
The Bigger Place,"Cafe, Fast Food",5
Doughnut Plant,"Cafe, Greek",9
Sea Fire Grill,"Cafe, Healthy",1137
Two Hands Tribeca,"Cafe, Healthy",65
Perfect Picnic,"Cafe, Healthy",49
City Diner,"Cafe, Healthy",44
Vivi Bubble Tea,"Cafe, Healthy",26
Charley St.,"Cafe, Healthy",20
Tokyo Record Bar,"Cafe, Healthy",10
Tabernacle Steakhouse,"Cafe, International",7
Himalayan Curry House,"Cafe, International",3
Delectica Catering,"Cafe, Israeli",37
Ben & Jack's Steakhouse,"Cafe, Israeli",28
Max Cafe,"Cafe, Italian",37
Cafe 45,"Cafe, Italian",26
Vanilla Gorilla Cafe,"Cafe, Italian",20
3 Guys Restaurant,"Cafe, Japanese",154
PQR Roman Pizzeria,"Cafe, Latin",12
Pi Greek Bakerie,"Cafe, Mediterranean",150
Westville Hell's Kitchen,"Cafe, Mediterranean",22
Van Leewen Ice Cream,"Cafe, Mediterranean",6
Sushi Teru Omakase,"Cafe, Mediterranean",0
Motorino East Village,"Cafe, Street Food",290
Tim Ho Wan,"Cafe, Sushi",35
The Waverly Inn and Garden,Cajun & Creole,334
Aqua Boil,Cajun & Creole,11
Hemlock,Cajun & Creole,7
Messeria,Cajun & Creole,2
Jimbo's Hamburger,Cajun & Creole,0
CajunSea & Oyster Bar,"Cajun & Creole, Seafood",80
Pick & Eat,"Cajun & Creole, Seafood",7
Kashkaval Garden,"Canadian, International",153
butterfly chicken llc,Caribbean,591
Miss Lilys 7a,Caribbean,17
Tangy Noodle,Caribbean,3
J-spec Wagyu Dining,Caribbean,2
Brady's Bar,"Caribbean, Asian",5
Footprints Cafe,"Caribbean, Bar",47
El Toro Mexican Grill,"Caribbean, Bar",16
Prince Tea House,"Caribbean, Cafe",7
David Burke Tavern,"Caribbean, Cuban",114
Sir Henri Penthouse Rooftop,"Caribbean, Cuban",9
Sall Restaurant & Lounge,"Caribbean, Cuban",7
Cachapas Y Mas,"Caribbean, Cuban",4
Lola Lola Restaurant & Bar,"Caribbean, Cuban",3
Taki Sushi,"Caribbean, Fast Food",20
Soho's Finest Market,"Caribbean, French",3
Yummy Thai,"Caribbean, Healthy",12
Ramen Jin,"Caribbean, Jamaican",591
Motorino East Village,"Caribbean, Jamaican",290
Negril Village,"Caribbean, Jamaican",194
Freda's,"Caribbean, Jamaican",40
The Ainsworth Fidi,"Caribbean, Jamaican",6
The Spotted Owl Tavern,"Caribbean, Jamaican",4
Baked Cravings,"Caribbean, Jamaican",2
Niche Niche,"Caribbean, Jamaican",2
Green Fusion,"Caribbean, Jamaican",0
The Grill,"Caribbean, Jamaican",0
Havana Central Times Square,"Caribbean, Latin",1938
Guantanamera,"Caribbean, Latin",669
Cuba,"Caribbean, Latin",475
West End Bar & Grill,"Caribbean, Latin",384
Margon,"Caribbean, Latin",210
El Malecon Restaurant,"Caribbean, Latin",103
Lantern's Keep,"Caribbean, Latin",83
Flat Top,"Caribbean, Latin",78
El Malecon Restaurant,"Caribbean, Latin",74
Taqueria Trio 2,"Caribbean, Latin",44
Boca Restaurant and Lounge,"Caribbean, Pub",5
Elis Table,"Caribbean, Puerto Rican",7
Dagon,"Caribbean, Seafood",28
Goodnight Sonny,"Caribbean, Spanish",23
Lenwich,"Caribbean, Spanish",19
Tribhaanga,"Caribbean, Spanish",5
Istanbul Kebab House,"Central American, South American",73
Farida,"Central Asian, Uzbek",56
Empanada Mia,"Chilean, South American",0
Benjamin Steakhouse,Chinese,2490
The Squeeze,Chinese,2490
Sea Fire Grill,Chinese,1137
Royal 35 Steakhouse,Chinese,591
Royal 35 Steakhouse,Chinese,591
Grill Point,Chinese,591
Royal 35 Steakhouse,Chinese,591
Salumeria Rosi,Chinese,400
Benjamin Steakhouse Prime,Chinese,309
Healthy Green Juice Bar,Chinese,309
Brickyard craft kitchen & beer,"Chinese, American",39
The Terrace And Outdoor Gardens,"Chinese, American",37
Eli's Essentials,"Chinese, American",29
Gotham Cafe,"Chinese, American",12
TeaMagic,"Chinese, American",4
Changle Xin Fan Zhuang,"Chinese, American",2
Buddakan,"Chinese, Asian",5434
Sushi Star,"Chinese, Asian",2490
Benjamin Steakhouse,"Chinese, Asian",2490
Benjamin Steakhouse,"Chinese, Asian",2490
Gooey on the Inside,"Chinese, Asian",2490
Joe's Shanghai,"Chinese, Asian",1930
Sea Fire Grill,"Chinese, Asian",1137
La Bonne Soupe,"Chinese, Asian",1034
Chez Josephine,"Chinese, Asian",1000
Lupa Osteria Romana,"Chinese, Asian",983
Salads Here,"Chinese, Bar",309
Crown Wine & Liquors Inc,"Chinese, Bar",87
99 Favor Taste,"Chinese, Barbecue",65
Kam Hing,"Chinese, Cafe",322
Lenny's Sub Shop,"Chinese, Cafe",8
Audrey Bakery & Cafe,"Chinese, Cafe",7
Roma Pizza,"Chinese, Cafe",4
Little Alley,"Chinese, Cajun & Creole",44
Calle Dao Bryant Park,"Chinese, Caribbean",188
